date,description,amount,category
2024-01-03,Whole Foods Market,87.42,Groceries
2024-01-05,Netflix,15.99,Subscriptions
2024-01-07,Shell Gas Station,54.10,Transport
2024-01-09,Chipotle,13.75,Dining
2024-01-11,Amazon Purchase,39.99,Shopping
2024-01-14,Spotify,9.99,Subscriptions
2024-01-15,Trader Joes,62.30,Groceries
2024-01-18,Uber Ride,22.50,Transport
2024-01-20,Planet Fitness,24.99,Health
2024-01-22,CVS Pharmacy,18.45,Health
2024-01-25,Starbucks,6.75,Dining
2024-01-28,Electric Bill,110.00,Utilities
2024-01-30,Internet Bill,59.99,Utilities
2024-02-01,Whole Foods Market,91.10,Groceries
2024-02-03,Netflix,15.99,Subscriptions
2024-02-05,BP Gas Station,48.60,Transport
2024-02-07,Sushi Restaurant,45.00,Dining
2024-02-10,Spotify,9.99,Subscriptions
2024-02-12,Target,73.25,Shopping
2024-02-14,Valentines Dinner,95.00,Dining
2024-02-16,Lyft Ride,18.75,Transport
2024-02-18,Planet Fitness,24.99,Health
2024-02-20,Walgreens,12.30,Health
2024-02-22,Starbucks,7.25,Dining
2024-02-25,Electric Bill,98.50,Utilities
2024-02-27,Internet Bill,59.99,Utilities
2024-02-29,Amazon Purchase,124.99,Shopping
2024-03-02,Whole Foods Market,78.90,Groceries
2024-03-04,Netflix,15.99,Subscriptions
2024-03-06,Chevron Gas,51.20,Transport
2024-03-08,Thai Restaurant,32.00,Dining
2024-03-10,Spotify,9.99,Subscriptions
2024-03-12,Nike Online,89.95,Shopping
2024-03-15,Trader Joes,55.40,Groceries
2024-03-17,Uber Ride,27.80,Transport
2024-03-19,Planet Fitness,24.99,Health
2024-03-21,Dentist Visit,150.00,Health
2024-03-23,Chipotle,14.25,Dining
2024-03-26,Electric Bill,104.00,Utilities
2024-03-28,Internet Bill,59.99,Utilities
2024-03-30,Apple iCloud,2.99,Subscriptions
